Feature Number,Chosen Feature,Mean AUC
1,stroke_severity,0.7092243215177572
2,prior_disability,0.7726104858898802
3,stroke_team,0.8016021592112939
4,age,0.8085340064099654
5,arrive_by_ambulance,0.8103659945453974
6,infarction,0.8120766606253339
7,onset_to_arrival_time,0.8125200372767084
8,afib_anticoagulant,0.8127439660655771
9,male,0.8129217285284323
10,onset_during_sleep,0.8131189521608293
11,diabetes,0.8132978810599214
12,any_afib_diagnosis,0.8133912382976506
13,ethnicity,0.813493531961859
14,prior_stroke_tia,0.8135560808045434
15,precise_onset_known,0.8136221940765855
16,congestive_heart_failure,0.8136414750450662
17,atrial_fibrillation,0.8137090652284662
18,random_2,0.8136951059135089
19,afib_antiplatelet,0.8136195655251575
20,onset_known,0.8136891604776958
21,hypertension,0.8136088621199595
22,random_3,0.8134918248699432
23,random_1,0.813207389658376
