Feature Number,Chosen Feature,Mean AUC
1,stroke_severity,0.6949813456887949
2,prior_disability,0.7614139097041561
3,stroke_team,0.7902432630081687
4,age,0.7975297327746594
5,thrombolysis,0.8004829565145613
6,arrive_by_ambulance,0.8022251436235741
7,infarction,0.8038363728901821
8,onset_to_arrival_time,0.804510599805117
9,thrombolysis_induced_haemorrhage,0.804960615618549
10,arrival_to_scan_time,0.8054553732358858
11,thrombectomy,0.8057219489794226
12,male,0.8059138768094302
13,diabetes,0.8061034370933516
14,ethnicity,0.8063350209287649
15,atrial_fibrillation,0.8064556728480184
16,onset_during_sleep,0.8065663630505681
17,afib_anticoagulant,0.8066104096568354
18,congestive_heart_failure,0.806766357933479
19,precise_onset_known,0.8068154462214515
20,any_afib_diagnosis,0.8068396328209433
21,hypertension,0.8068777259383684
22,afib_antiplatelet,0.8069496096867621
23,new_afib_diagnosis,0.8068954873110228
24,onset_known,0.8068477964983934
25,prior_stroke_tia,0.8068240934118436
26,random_2,0.8068460148203505
27,random_3,0.8067184560741371
28,random_1,0.8065901499933007
