Feature Number,Chosen Feature,Mean r2
1,stroke_severity,0.10744731725748553
2,stroke_team,0.13331239380881024
3,prior_disability,0.15797616137964615
4,age,0.17052285864342318
5,arrive_by_ambulance,0.17574164471096232
6,infarction,0.17984005651922358
7,onset_to_arrival_time,0.18309500870835854
8,onset_during_sleep,0.18440615358150877
9,ethnicity,0.18455819056204564
10,hypertension,0.1853539427727565
11,afib_anticoagulant,0.18532836996185262
12,male,0.18573592659848367
13,atrial_fibrillation,0.18586372475413027
14,onset_known,0.1857614034298105
15,diabetes,0.18571385542181157
16,precise_onset_known,0.18643751377297574
17,afib_antiplatelet,0.1862479046300118
18,any_afib_diagnosis,0.18625885914576917
19,random_2,0.1855613857010297
20,prior_stroke_tia,0.18547918498419466
21,congestive_heart_failure,0.18565103533373284
22,random_3,0.18506341248269317
23,random_1,0.1841812194465748
