Feature Number,Chosen Feature,Mean r2
1,stroke_severity,0.09731701078353801
2,stroke_team,0.12315516822661406
3,prior_disability,0.14840167096882415
4,age,0.15897949633021596
5,arrive_by_ambulance,0.16592151180186537
6,arrival_to_scan_time,0.1713189082600187
7,infarction,0.17626180600222163
8,new_afib_diagnosis,0.1795370235218622
9,atrial_fibrillation,0.18644106608989688
10,onset_known,0.1878081828794021
11,precise_onset_known,0.1886709311438637
12,onset_to_arrival_time,0.18885349042189595
13,onset_during_sleep,0.18919273457291125
14,diabetes,0.1898050954483179
15,random_2,0.19000832570769785
16,ethnicity,0.190281958491551
17,prior_stroke_tia,0.19068053020529074
18,male,0.19125019585104824
19,afib_anticoagulant,0.19034921828395437
20,any_afib_diagnosis,0.1909799479206238
21,afib_antiplatelet,0.19098615209534422
22,hypertension,0.19133190009671708
23,congestive_heart_failure,0.19048011480984223
24,random_1,0.18961477965483847
25,random_3,0.1891440418074983
