Feature Number,Chosen Feature,Mean AUC
1,stroke_severity,0.8392178022133014
2,prior_disability,0.8802644045923469
3,infarction,0.9083499738509507
4,lvo,0.9273227466098245
5,stroke_team,0.9395867047765648
6,onset_to_arrival_time,0.9468365207783325
7,arrival_to_scan_time,0.9493042251425832
8,age,0.9516633959261785
9,arrive_by_ambulance,0.9533767136097856
10,thrombolysis,0.9544283036305379
11,any_afib_diagnosis,0.9548653349040486
12,onset_during_sleep,0.9551123100960826
13,precise_onset_known,0.9553452150520945
14,prior_stroke_tia,0.9555673027971207
15,diabetes,0.9557485428527978
16,male,0.9558213078480204
17,hypertension,0.9558780597269255
18,afib_antiplatelet,0.9559347523044975
19,onset_known,0.9559205977598915
20,new_afib_diagnosis,0.9558069734269464
21,ethnicity,0.9558464231381979
22,congestive_heart_failure,0.9558130747200222
23,atrial_fibrillation,0.9558229259468781
24,afib_anticoagulant,0.9558507619333657
25,random_2,0.9558100131836577
26,random_3,0.9557887226926226
27,random_1,0.9553744389143258
