Feature Number,Chosen Feature,Mean AUC
1,stroke_severity,0.6300457822340354
2,stroke_team,0.6483509990874475
3,age,0.6542636032780005
4,arrive_by_ambulance,0.6575545903334087
5,hypertension,0.6581826713898365
6,afib_anticoagulant,0.6602383857991735
7,infarction,0.6602383857991735
8,onset_known,0.6599246712529262
9,diabetes,0.6597019928053124
10,congestive_heart_failure,0.6590001556090943
11,any_afib_diagnosis,0.6601148132746455
12,prior_stroke_tia,0.6589962845877645
13,precise_onset_known,0.6587493353230484
14,ethnicity,0.6578594196638761
15,male,0.6585719841996289
16,prior_disability,0.6567949780680667
17,atrial_fibrillation,0.6567010958193866
18,onset_during_sleep,0.656551405702006
19,random_2,0.6576467911401425
20,afib_antiplatelet,0.6574554012495172
21,onset_to_arrival_time,0.658521595442833
22,random_1,0.6543226012557826
23,random_3,0.6498880404667615
