Feature Number,Chosen Feature,Mean AUC
1,onset_to_arrival_time,0.8451517965203535
2,stroke_severity,0.8843171500291666
3,infarction,0.9160785450248268
4,afib_anticoagulant,0.9304797334169674
5,precise_onset_known,0.9405511536218707
6,stroke_team,0.9472283670926179
7,prior_disability,0.9515936765597539
8,onset_known,0.952549766433453
9,onset_during_sleep,0.9532114909266424
10,prior_stroke_tia,0.9534783875755991
11,age,0.9537038932174369
12,atrial_fibrillation,0.9537485595348661
13,arrive_by_ambulance,0.9539848279673409
14,afib_antiplatelet,0.9540380547959486
15,male,0.9540304643266732
16,diabetes,0.953925085253417
17,ethnicity,0.9540315603048614
18,any_afib_diagnosis,0.9539282712039915
19,hypertension,0.9539896206256891
20,congestive_heart_failure,0.9539154285833134
21,random_1,0.9538519266904762
22,random_2,0.9537605373951946
23,random_3,0.9534926515673661
