Feature,Mean ROC AUC,lower_95_ci,upper_95_ci
stroke_severity,0.7092243215177572,0.7076814822315638,0.7108424758754355
prior_disability,0.6726440412226242,0.6712435165538797,0.6739743633395379
age,0.6245067074916439,0.6229664821967567,0.625717271678841
stroke_team,0.607967032650164,0.6065734870325505,0.6099755930350627
arrive_by_ambulance,0.5787670335639392,0.5771946787720291,0.5797047046854586
any_afib_diagnosis,0.5437295789789023,0.5430263610810331,0.5446062826128968
male,0.5401925210631496,0.5389717872386892,0.5414178629727918
atrial_fibrillation,0.5386353946567001,0.5372351812503489,0.539851792110248
infarction,0.5363141988517311,0.5340921120300718,0.538834002538089
onset_to_arrival_time,0.5309933386099777,0.5296686102452779,0.5319877186830398
afib_anticoagulant,0.5296760877497657,0.5279720742680127,0.5304589069380398
prior_stroke_tia,0.5263520686427176,0.5248436546581794,0.5282881635731452
hypertension,0.5211475343493509,0.5200629838162388,0.5220158922678271
precise_onset_known,0.5153017830274893,0.5145811187376388,0.5165082094156423
diabetes,0.5135417331967538,0.5113672536906313,0.5154938092777631
congestive_heart_failure,0.511658317536265,0.5112607217275951,0.5119752657909682
onset_during_sleep,0.5080872115104925,0.5068494272098129,0.509422457572772
ethnicity,0.507954224304514,0.507008148061345,0.5088931076059662
onset_known,0.5062153846940332,0.5052745495856157,0.5073009672481372
afib_antiplatelet,0.5031687907868138,0.5027078096255364,0.5035841358308331
random_1,0.500995198144922,0.5004665210323379,0.5016892398064814
random_3,0.5001133414963599,0.49941922254032356,0.5010865103503502
random_2,0.4986555661820359,0.49826635524639784,0.49933643732824035
