Feature,Mean ROC AUC,lower_95_ci,upper_95_ci
stroke_severity,0.6893864651023586,0.6885117636142486,0.6902364995068879
prior_disability,0.6644895805136788,0.6635511094693617,0.6654438677556771
age,0.6217765463840498,0.6206741095003083,0.6227144453082643
stroke_team,0.6047635024164372,0.6036665623639551,0.6057737729399599
arrive_by_ambulance,0.5717669540370598,0.570993817535927,0.5722719634669562
any_afib_diagnosis,0.5424162246998689,0.5417099841445485,0.5430274813775955
new_afib_diagnosis,0.5412142050361728,0.5404740039631836,0.5418241645061258
male,0.5391157871257031,0.5388617957088823,0.5393902694048398
arrival_to_scan_time,0.5380124669131415,0.5370012236020856,0.5386573238001169
atrial_fibrillation,0.5368517993161769,0.5362804002636645,0.5373490285420371
infarction,0.5327033186357892,0.5321469481851016,0.5330790540214475
onset_to_arrival_time,0.5274640598925548,0.5267703771578363,0.5282536897057839
afib_anticoagulant,0.5273038053470045,0.5267017550325065,0.527904211752188
prior_stroke_tia,0.524594034785854,0.5237072051063025,0.525420500818951
hypertension,0.5220725710908877,0.5210465505345534,0.5234284740291424
precise_onset_known,0.5173835188054556,0.5168072638662199,0.5178783225550261
diabetes,0.5148724750191291,0.513581950312864,0.5158434055596349
congestive_heart_failure,0.5114760744524489,0.5106683222440285,0.5123278089267165
ethnicity,0.5075361673429452,0.5070017688893782,0.5080732864452042
onset_during_sleep,0.5074228573830233,0.5068809400162488,0.5078449105218641
thrombolysis,0.5055754875910089,0.5049821245179049,0.5061742146035118
thrombolysis_induced_haemorrhage,0.5048071010224714,0.5044944271132401,0.5051591470345501
onset_known,0.50450885315765,0.5033846577318457,0.5053581891944353
thrombectomy,0.5042416358796746,0.5036534196706923,0.5048291080817842
afib_antiplatelet,0.503113462498612,0.50282291044516,0.5032704725732626
random_2,0.5000566217585278,0.49949003775042117,0.5004481869574793
random_3,0.49970641953077877,0.4986171369166412,0.5003194459508754
random_1,0.498773585133449,0.49808088757345886,0.500171048766771
