Feature,Mean R-squared,lower_95_ci,upper_95_ci
stroke_severity,0.10744731725748553,0.1046276823516173,0.11045986192873045
arrive_by_ambulance,0.02419590134909997,0.023923206443645005,0.024451222152831055
stroke_team,0.023243651746875437,0.021840395717172133,0.025677534467281972
prior_disability,0.010312092113201655,0.00986318646094334,0.01082135874807777
infarction,0.009426241820098658,0.008346398687535294,0.010309900409748473
age,0.006024195504561014,0.005633553375492817,0.006523958853627299
any_afib_diagnosis,0.0016607412306072656,0.001497490394358869,0.001964598223403857
precise_onset_known,0.0015447604359874801,0.0013933642367255806,0.0017757620361513627
ethnicity,0.0011864282844567641,0.000847207324476007,0.0015809386991529229
onset_to_arrival_time,0.0010584659152856,0.0005865048776099391,0.0014515617116182989
atrial_fibrillation,0.001028497234227932,0.0008154628498243443,0.0012595642967551668
hypertension,0.0009499013938820688,0.0006808293807948118,0.0011117089658933988
afib_anticoagulant,0.0008944485679123649,0.0007463180668557667,0.0010635562853229309
diabetes,0.0006850057466407877,0.00047922605668281325,0.0008314449346261022
male,0.00039353319830324194,0.0002744687501933352,0.000524547277648002
congestive_heart_failure,0.00033843731891001203,0.00026028799295321205,0.0004363150152445816
prior_stroke_tia,0.0002697405176623757,7.717424515326642e-05,0.0003776841068527381
onset_during_sleep,0.00018247388738814596,0.00014532979754016128,0.00023022732658545264
afib_antiplatelet,6.226129458863916e-05,3.6377642679885636e-05,0.00011884165273213787
random_2,-2.191219426550539e-06,-7.056320772313995e-06,7.705326631191053e-08
onset_known,-8.005167662794576e-06,-3.7985391176786895e-05,2.404926563270848e-06
random_3,-2.9680802521170334e-05,-7.094812291030816e-05,4.038296870545465e-06
random_1,-0.000790534302740209,-0.000927740489094675,-0.000687219277265827
