Feature,Mean R-squared,lower_95_ci,upper_95_ci
stroke_severity,0.08790144428374817,0.08603305632083064,0.08989489199621743
stroke_team,0.021942046753293164,0.020786712543074248,0.02305930883656997
arrive_by_ambulance,0.020574116551548838,0.019851751667081786,0.02094590672096681
prior_disability,0.0072841460076109145,0.006714765484105112,0.0076184110174736365
thrombectomy,0.007268425330066952,0.006031852256175907,0.008409519454504555
arrival_to_scan_time,0.006855808903824578,0.005923732807455973,0.008128872708067437
infarction,0.00553265911558618,0.004847938130161489,0.006249987256996592
age,0.004305611995425762,0.003976710299302711,0.004833974063524338
new_afib_diagnosis,0.003779889423802518,0.0036652109978507095,0.0038860164180687827
thrombolysis_induced_haemorrhage,0.0024165496031113287,0.0016780724956374615,0.0029766104420836936
any_afib_diagnosis,0.0015312827431869015,0.0013771064951017542,0.0016307929711427249
ethnicity,0.0013274085059352236,0.0010824717911601777,0.0017737303190113794
onset_to_arrival_time,0.001160984972355683,0.0007567433971442661,0.001406551691293989
precise_onset_known,0.0011201755493081445,0.0010188789288213095,0.0011923090728869767
hypertension,0.0009250817196156058,0.0007580062536061583,0.0010592291888309124
atrial_fibrillation,0.000772799525599055,0.00048823058779293713,0.0009690986485839992
diabetes,0.0006876256624136712,0.0005307805191994474,0.0008791948264982085
afib_anticoagulant,0.0006420781297716393,0.0005338962481634235,0.0007798068508440114
congestive_heart_failure,0.0003010255422773556,0.0001907208972852792,0.0003834431219784107
male,0.0002737275662607841,0.0001626710740176618,0.000326158941851451
onset_during_sleep,0.0001407092543074473,-3.747070740156566e-06,0.0002665842558408404
prior_stroke_tia,0.00010386201118099958,2.1439614089391323e-05,0.00018452365159289387
thrombolysis,6.532908585206165e-05,-7.4241228722016215e-06,0.00014574461318045406
afib_antiplatelet,4.070440745338466e-05,-5.087236468714895e-06,6.744365108607431e-05
onset_known,8.156084355825931e-06,-1.0559555510436524e-06,1.585116199825931e-05
random_2,-8.140442962600858e-07,-8.221154925425189e-06,1.9860206280863935e-06
random_3,-7.781849279742126e-06,-3.264956352138082e-05,1.830312188989547e-05
random_1,-0.0005992010886756826,-0.0008404329997243165,-0.0003580962732759652
