Feature,Mean ROC AUC,lower_95_ci,upper_95_ci
stroke_severity,0.8392178022133014,0.8377397967910402,0.8405118258792538
arrival_to_scan_time,0.7350810878137012,0.7325648594898451,0.7403891641484978
onset_to_arrival_time,0.7142734872040315,0.7122582545793775,0.7169317923382662
thrombolysis,0.6882740358852402,0.6823982851575153,0.6942051448813342
lvo,0.6678394900303368,0.6606992622028571,0.6711523935997369
stroke_team,0.6435050344453226,0.6370418297495464,0.6505275949469174
prior_disability,0.6123661727949979,0.6089787495335435,0.6152713807409897
precise_onset_known,0.6039136101328044,0.5992665984646445,0.6101224936064487
onset_known,0.5996890395910259,0.5974227954677925,0.602966127654198
age,0.5875805566900318,0.5839831375124779,0.5898997913583296
arrive_by_ambulance,0.5771608074405423,0.5760418322609188,0.5788389884925894
infarction,0.5681017591832903,0.5678489005601398,0.5683077882267367
prior_stroke_tia,0.5471781654891678,0.5448494670467379,0.5495644724269441
new_afib_diagnosis,0.5463648333092059,0.5433096029241586,0.552144420095085
any_afib_diagnosis,0.5429326388176554,0.5388701704866035,0.5490944152437442
diabetes,0.5376781554625158,0.5327513705552833,0.5420137522020054
hypertension,0.5362208036275656,0.5317543817747904,0.5385990639625987
ethnicity,0.5208949972692383,0.5164580709952222,0.5259558961876051
atrial_fibrillation,0.5173113057252684,0.5127748086465954,0.5198410151906566
afib_anticoagulant,0.5076241039587023,0.505677485016093,0.5107050886091874
onset_during_sleep,0.505593082128945,0.5016075330045975,0.5110507873776818
male,0.5048143902268857,0.4980414085637204,0.5090446013550436
random_1,0.5024758194790853,0.5006981562130135,0.5037151264061231
congestive_heart_failure,0.5021985884031122,0.5001420114850487,0.5046927345356842
afib_antiplatelet,0.500560446918913,0.4994788885821706,0.5018412152367366
random_2,0.4967970973841753,0.49086001434068316,0.5024120135123421
random_3,0.4905176094376872,0.4869301663992567,0.4947670501851539
