Feature,Mean ROC AUC,lower_95_ci,upper_95_ci
stroke_severity,0.6300457822340354,0.6216852976906438,0.6391186790336975
stroke_team,0.5957191583894106,0.5905295630744878,0.6018400265727885
age,0.5629761220491105,0.5521229011158095,0.5732281694177513
any_afib_diagnosis,0.5326225156521321,0.5285400955453402,0.5363523949180933
prior_disability,0.5316985683832176,0.5188423878388116,0.544016692722883
arrive_by_ambulance,0.5194441292124437,0.5139458930499277,0.5249358697305571
hypertension,0.5188008818462018,0.5123046903695921,0.5239772107867138
diabetes,0.5136489772113528,0.5023163437842895,0.5237477093372225
atrial_fibrillation,0.5122965241383823,0.506486778917561,0.5197206009957779
precise_onset_known,0.5077249568413349,0.5005217644393876,0.5155498040593118
male,0.5068045379246806,0.498937978623748,0.5140401369476973
onset_to_arrival_time,0.5059070705918838,0.4989288019874604,0.5121785845809415
ethnicity,0.5054752034359431,0.49572829741476476,0.5133533210955399
afib_anticoagulant,0.5031894150070434,0.5003949238213444,0.5070264011574885
prior_stroke_tia,0.5028204372714329,0.49838500897861804,0.5084037831387079
afib_antiplatelet,0.5026277328457376,0.4987384326655663,0.5050833769704585
congestive_heart_failure,0.5024379513613947,0.4983208959529722,0.5068253155858641
random_3,0.501775400336095,0.49527507285096023,0.5101312639485669
random_1,0.5016636209975461,0.49416889748593407,0.5066256863045862
onset_during_sleep,0.5015186045806659,0.5000476929853235,0.5035614017645978
infarction,0.5,0.5,0.5
onset_known,0.49904252815774414,0.4968044567022753,0.5009934240150075
random_2,0.49434503825612686,0.493576169661648,0.49510401274309634
