Feature,Mean ROC AUC,lower_95_ci,upper_95_ci
onset_to_arrival_time,0.8451517965203535,0.8422388095275557,0.8466884740219375
precise_onset_known,0.7200921307219031,0.716201438492774,0.7228364139357438
stroke_severity,0.7196126967536532,0.7167299881899326,0.7223926130783642
onset_known,0.6431301417090917,0.6424840924332585,0.6438313067093826
afib_anticoagulant,0.5738171810322228,0.5731417600316093,0.5746682487403418
prior_disability,0.5730916670222465,0.5691895402555414,0.5765247582816356
infarction,0.5714419599408845,0.5707012147500211,0.5724848907205594
stroke_team,0.5682282557963593,0.562721331216509,0.5724768903407736
arrive_by_ambulance,0.567600495262306,0.5649487994356829,0.5689606575066385
onset_during_sleep,0.557241761714091,0.555178294628348,0.5585222801389506
atrial_fibrillation,0.5504535782849346,0.5496334562103327,0.5514717359802642
age,0.5389214734666474,0.53523606561851,0.543069351469498
prior_stroke_tia,0.5338566785325355,0.5321458165162317,0.5353993916011331
any_afib_diagnosis,0.5270306048096549,0.5263927961324097,0.5277275887069105
diabetes,0.5227982700186408,0.5191983793054372,0.5264099451785127
hypertension,0.5202696755319481,0.5162296189235009,0.5237326722219321
male,0.5113582698275122,0.5096550448328703,0.5137324695132748
ethnicity,0.5054078688326786,0.5028314426564169,0.5067956511406069
congestive_heart_failure,0.5051506837160832,0.5042902143482004,0.5057854877545802
afib_antiplatelet,0.5018997878232032,0.5015924292724366,0.5021663170752504
random_2,0.5013692348692835,0.49787864585352265,0.5050863753320095
random_3,0.5007609900783629,0.497162548972805,0.5060649363435966
random_1,0.4994988986763483,0.49733385750459336,0.5021419296339935
